,title,year,queryIds
0,Radiomics in Antineoplastic Agents Development: Application and Challenge in Response Evaluation,2021,"['1', '3']"
1,A fuzzy convolutional attention-based GRU network for human activity recognition,2023,['1']
2,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion",2023,"['1', '2', '3', '5', '9']"
3,Perspectives: A surgeon's guide to machine learning,2021,"['1', '2', '3']"
4,AI in medical diagnosis: AI prediction & human judgment,2024,"['1', '2', '3', '5', '9']"
5,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment",2023,"['1', '2', '3']"
6,Human and artificial cognition,2022,"['1', '2', '3', '5', '9']"
7,Towards multi-modal causability with Graph Neural Networks enabling information fusion for explainable AI,2021,"['2', '3', '9']"
8,"Resistance to artificial intelligence in health care: Literature review, conceptual framework, and research agenda",2024,"['2', '3', '9']"
9,Machine gaze in online behavioral targeting: The effects of algorithmic human likeness on social presence and social influence,2021,"['2', '3', '9']"
10,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,"['2', '3']"
11,Designing interpretable ML system to enhance trust in healthcare: A systematic review to proposed responsible clinician-AI-collaboration framework,2024,"['2', '3', '9']"
12,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,"['2', '3']"
13,Opportunities of artificial intelligence for supporting complex problem-solving: Findings from a scoping review,2023,"['2', '3']"
14,AI-enabled investment advice: Will users buy it?,2023,['3']
15,Preventing the generation of inconsistent sets of crisp classification rules,2021,['3']
16,RBM-GP with novel kernels coupled deep learning model for autism screening,2022,['3']
17,Domesticating AI in medical diagnosis,2024,['3']
18,Combining the strengths of radiologists and AI for breast cancer screening: a retrospective analysis,2022,['3']
19,When AI doctors lie about diagnosis: The effects of varying degrees of prosocial lies in patient–AI interactions,2024,['3']
20,What makes AI ‘intelligent’ and ‘caring’? Exploring affect and relationality across three sites of intelligence and care,2021,['3']
21,ChatGPT or Bard: Who is a better Certified Ethical Hacker?,2024,['3']
22,DeepThInk: Designing and probing human-AI co-creation in digital art therapy,2024,['3']
23,Introduction of human-centric AI assistant to aid radiologists for multimodal breast image classification,2021,"[' 3', '10']"
24,Clinical validation of deep learning algorithms for radiotherapy targeting of non-small-cell lung cancer: an observational study,2022,['3']
25,Explainability and causability for artificial intelligence-supported medical image analysis in the context of the European In Vitro Diagnostic Regulation,2022,"[' 3', '10']"
26,Forecasting performance of wavelet neural networks and other neural network topologies: A comparative study based on financial market data sets,2022,['3']
27,Lack of Effectiveness of Computer Aided Detection for Colorectal Neoplasia: A Systematic Review and Meta-Analysis of Nonrandomized Studies,,['3']
28,Understanding the factors influencing acceptability of AI in medical imaging domains among healthcare professionals: A scoping review,2024,"[' 3', '10']"
29,Hybrid Intelligence in Production Systems and Its Effects on Human Work: Insights from Four Use-Cases,2024,['3']
30,Improving the Accuracy and Efficiency of Abnormal Cervical Squamous Cell Detection With Cytologist-in-the-Loop Artificial Intelligence,2023,['3']
31,Enhancing human-AI collaboration: The case of colonoscopy,,['3']
32,Stakeholder perceptions of the safety and assurance of artificial intelligence in healthcare,2022,['3']
33,Optimization and fine-tuning of DenseNet model for classification of COVID-19 cases in medical imaging,2021,['3']
34,Fair and equitable AI in biomedical research and healthcare: Social science perspectives,2023,['3']
35,Designing explainable AI to improve human-AI team performance: A medical stakeholder-driven scoping review,2024,['3']
36,Improving radiology workflow using ChatGPT and artificial intelligence,2023,['3']
37,On the (non-) reliance on algorithms—A decision-theoretic account,2024,['3']
38,"Developing, Purchasing, Implementing and Monitoring AI Tools in Radiology: Practical Considerations. A Multi-Society Statement From the ACR, CAR, ESR, RANZCR & RSNA",,['3']
39,A framework for implementing machine learning in healthcare based on the concepts of preconditions and postconditions,2023,['3']
40,The decision-point-dilemma: Yet another problem of responsibility in human-AI interaction,2021,['3']
41,"AI for managing open innovation: Opportunities, challenges, and a research agenda",2023,['3']
42,Assessing perspectives on artificial intelligence applications to gastroenterology,2021,['3']
43,Value co-creation for digital innovation: An interorganizational boundary-spanning perspective,2023,['3']
44,Application of explainable artificial intelligence in medical health: A systematic review of interpretability methods,2023,['3']
45,An overview of artificial intelligence in medical physics and radiation oncology,2023,['3']
46,"Machine learning approaches in COVID-19 diagnosis, mortality, and severity risk prediction: A review",2021,['3']
47,Human confidence in artificial intelligence and in themselves: The evolution and impact of confidence on adoption of AI advice,2022,['3']
48,A sociotechnical perspective for responsible AI maturity models: Findings from a mixed-method literature review,2023,['3']
49,"A systematic review of AI literacy conceptualization, constructs, and implementation and assessment efforts (2019–2023)",2024,['3']
50,Deep learning assistance for the histopathologic diagnosis of Helicobacter pylori,2020,['3']
51,Artificial intelligence and multidisciplinary team meetings; a communication challenge for radiologists' sense of agency and position as spider in a web?,2022,['3']
