,title,query,year
0,"Radiomics in Antineoplastic Agents Development: Application and Challenge in Response Evaluation,",1,"2021,"
1,"A fuzzy convolutional attention-based GRU network for human activity recognition,",1,"2023,"
2,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion,",1,"2023,"
3,"Perspectives: A surgeon's guide to machine learning,",1,"2021,"
4,"AI in medical diagnosis: AI prediction & human judgment,",1,"2024,"
5,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment,",1,"2023,"
6,"Human and artificial cognition,",1,"2022,"
0,"Towards multi-modal causability with Graph Neural Networks enabling information fusion for explainable AI,",2,"2021,"
1,"Resistance to artificial intelligence in health care: Literature review, conceptual framework, and research agenda,",2,"2024,"
2,"Perspectives: A surgeon's guide to machine learning,",2,"2021,"
3,"Machine gaze in online behavioral targeting: The effects of algorithmic human likeness on social presence and social influence,",2,"2021,"
4,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion,",2,"2023,"
5,"AI in medical diagnosis: AI prediction & human judgment,",2,"2024,"
6,"Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,",2,"2020,"
7,"Designing interpretable ML system to enhance trust in healthcare: A systematic review to proposed responsible clinician-AI-collaboration framework,",2,"2024,"
8,"Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,",2,"2020,"
9,"Opportunities of artificial intelligence for supporting complex problem-solving: Findings from a scoping review,",2,"2023,"
10,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment,",2,"2023,"
11,"Human and artificial cognition,",2,"2022,"
0,"AI-enabled investment advice: Will users buy it?,",3,"2023,"
1,"Preventing the generation of inconsistent sets of crisp classification rules,",3,"2021,"
2,"RBM-GP with novel kernels coupled deep learning model for autism screening,",3,"2022,"
3,"Domesticating AI in medical diagnosis,",3,"2024,"
4,"Towards multi-modal causability with Graph Neural Networks enabling information fusion for explainable AI,",3,"2021,"
5,"Combining the strengths of radiologists and AI for breast cancer screening: a retrospective analysis,",3,"2022,"
6,"When AI doctors lie about diagnosis: The effects of varying degrees of prosocial lies in patient–AI interactions,",3,"2024,"
7,"What makes AI ‘intelligent’ and ‘caring’? Exploring affect and relationality across three sites of intelligence and care,",3,"2021,"
8,"ChatGPT or Bard: Who is a better Certified Ethical Hacker?,",3,"2024,"
9,"DeepThInk: Designing and probing human-AI co-creation in digital art therapy,",3,"2024,"
10,"Introduction of human-centric AI assistant to aid radiologists for multimodal breast image classification,",3,"2021,"
11,"Clinical validation of deep learning algorithms for radiotherapy targeting of non-small-cell lung cancer: an observational study,",3,"2022,"
12,"Explainability and causability for artificial intelligence-supported medical image analysis in the context of the European In Vitro Diagnostic Regulation,",3,"2022,"
13,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion,",3,"2023,"
14,"Forecasting performance of wavelet neural networks and other neural network topologies: A comparative study based on financial market data sets,",3,"2022,"
15,"Lack of Effectiveness of Computer Aided Detection for Colorectal Neoplasia: A Systematic Review and Meta-Analysis of Nonrandomized Studies,",3,","
16,"AI in medical diagnosis: AI prediction & human judgment,",3,"2024,"
17,"Designing interpretable ML system to enhance trust in healthcare: A systematic review to proposed responsible clinician-AI-collaboration framework,",3,"2024,"
18,"Understanding the factors influencing acceptability of AI in medical imaging domains among healthcare professionals: A scoping review,",3,"2024,"
19,"Hybrid Intelligence in Production Systems and Its Effects on Human Work: Insights from Four Use-Cases,",3,"2024,"
20,"Improving the Accuracy and Efficiency of Abnormal Cervical Squamous Cell Detection With Cytologist-in-the-Loop Artificial Intelligence,",3,"2023,"
21,"Enhancing human-AI collaboration: The case of colonoscopy,",3,","
22,"Perspectives: A surgeon's guide to machine learning,",3,"2021,"
23,"Stakeholder perceptions of the safety and assurance of artificial intelligence in healthcare,",3,"2022,"
24,"Optimization and fine-tuning of DenseNet model for classification of COVID-19 cases in medical imaging,",3,"2021,"
25,"Fair and equitable AI in biomedical research and healthcare: Social science perspectives,",3,"2023,"
26,"Designing explainable AI to improve human-AI team performance: A medical stakeholder-driven scoping review,",3,"2024,"
27,"Improving radiology workflow using ChatGPT and artificial intelligence,",3,"2023,"
28,"On the (non-) reliance on algorithms—A decision-theoretic account,",3,"2024,"
29,"Developing, Purchasing, Implementing and Monitoring AI Tools in Radiology: Practical Considerations. A Multi-Society Statement From the ACR, CAR, ESR, RANZCR & RSNA,",3,","
30,"A framework for implementing machine learning in healthcare based on the concepts of preconditions and postconditions,",3,"2023,"
31,"The decision-point-dilemma: Yet another problem of responsibility in human-AI interaction,",3,"2021,"
32,"Opportunities of artificial intelligence for supporting complex problem-solving: Findings from a scoping review,",3,"2023,"
33,"Human and artificial cognition,",3,"2022,"
34,"AI for managing open innovation: Opportunities, challenges, and a research agenda,",3,"2023,"
35,"Assessing perspectives on artificial intelligence applications to gastroenterology,",3,"2021,"
36,"Value co-creation for digital innovation: An interorganizational boundary-spanning perspective,",3,"2023,"
